"""","和　　　　　歌　　　　　山　　　　　県_現　金　給　与　総　額_名目指数","和　　　　　歌　　　　　山　　　　　県_現　金　給　与　総　額_前年(同月･期)比","和　　　　　歌　　　　　山　　　　　県_現　金　給　与　総　額_実質指数","和　　　　　歌　　　　　山　　　　　県_現　金　給　与　総　額_前年(同月･期)比","和　　　　　歌　　　　　山　　　　　県_所 定 内 給 与_名目指数","和　　　　　歌　　　　　山　　　　　県_所 定 内 給 与_前年(同月･期)比"
"平成17年","107.5","0.0","108.9","0.0","104.6","-0.2"
"平成18年","103.8","-3.4418604651162923","104.7","-3.8567493112947773","102.1","-2.3900573613766767"
"平成19年","102.33333333333333","-1.4129736673089326","102.55833333333332","-2.0455269022604483","99.0","-3.0362389813907953"
"平成20年","102.5","0.16286644951139806","100.8","-1.714471439018439","99.2","0.20202020202020776"
"平成21年","101.3","-1.1707317073170742","100.8","0.0","100.5","1.3104838709677438"
"平成22年","100.0","-1.2833168805528032","100.0","-0.7936507936507837","100.0","-0.4975124378109399"
"平成23年","96.3","-3.700000000000003","96.2","-3.799999999999997","95.8","-4.200000000000003"
"平成24年","98.0","1.765316718587755","98.2","2.0790020790020662","96.7","0.9394572025052383"
"平成25年","98.0","0.0","97.6","-0.6109979633401252","96.5","-0.20682523267838349"
"平成26年","99.7","1.7346938775510239","96.0","-1.6393442622950687","97.1","0.6217616580310761"
"平成19年1-3月","86.16666666666667","-2.787878787878782","87.26666666666667","-3.1","98.76666666666667","-4.2"
"平成19年4-6月","106.53333333333335","-0.8008008008008147","106.96666666666665","-1.4","98.86666666666667","-3.5"
"平成19年7-9月","94.93333333333332","-1.3407821229050256","94.96666666666665","-1.9","98.83333333333333","-2.7"
"平成19年10-12月","121.7","-0.7880910683012274","121.03333333333335","-1.9","99.53333333333335","-1.8"
"平成20年1-3月","88.06666666666666","2.2050290135396438","87.63333333333333","0.42016806722688216","99.59999999999998","0.8437394532568163"
"平成20年4-6月","107.7","1.0951188986232552","105.96666666666665","-0.9348706762231274","100.33333333333333","1.4834794335805555"
"平成20年7-9月","96.5","1.6502808988764173","93.90000000000002","-1.1232011232010848","98.43333333333332","-0.4047217537942629"
"平成20年10-12月","117.73333333333335","-3.259380991509161","115.43333333333334","-4.6268245662352","98.43333333333334","-1.1051574012056307"
"平成21年1-3月","85.96666666666665","-2.38455715367148","85.13333333333334","-2.8527957398250123","100.46666666666665","0.8701472556894316"
"平成21年4-6月","107.63333333333333","-0.06190034045188497","106.83333333333333","0.8178672538534215","101.36666666666667","1.029900332225921"
"平成21年7-9月","92.56666666666668","-4.0759930915371285","92.53333333333335","-1.4554490592829268","100.10000000000001","1.6931933626820381"
"平成21年10-12月","119.0","1.0758776896942095","118.53333333333335","2.6855327750505467","99.96666666666665","1.5577378936674506"
"平成22年1-3月","87.2","1.434664598681664","87.06666666666666","2.2709475332811166","101.89999999999999","1.426675514266762"
"平成22年4-6月","109.76666666666667","1.982037782595242","109.7","2.683307332293296","102.93333333333334","1.5455442288720747"
"平成22年7-9月","91.39999999999999","-1.2603528988116892","91.56666666666666","-1.0446685878962683","97.39999999999999","-2.6973026973027174"
"平成22年10-12月","111.63333333333333","-6.190476190476204","111.66666666666667","-5.793025871766034","97.8","-2.167389129709889"
"平成23年1-3月","81.8","-6.1926605504587116","82.10000000000001","-5.704441041347607","94.76666666666667","-7.000327118089615"
"平成23年4-6月","101.53333333333335","-7.500759186152422","101.43333333333334","-7.5357034336068125","95.76666666666667","-6.962435233160619"
"平成23年7-9月","89.3","-2.297592997811819","89.33333333333333","-2.439024390243901","95.8","-1.6427104722792478"
"平成23年10-12月","112.03333333333335","0.3583159151985882","112.06666666666666","0.35820895522387275","96.66666666666667","-1.1588275391956273"
"平成24年1-3月","83.86666666666667","2.5264873675631776","84.16666666666667","2.517255379618348","96.53333333333335","1.86422792824483"
"平成24年4-6月","103.83333333333333","2.2652659225213228","103.80000000000001","2.3332237923102213","96.53333333333335","0.80055690915421"
"平成24年7-9月","90.86666666666667","1.754385964912288","90.96666666666665","1.8283582089552226","96.96666666666665","1.2178148921363885"
"平成24年10-12月","113.46666666666665","1.279381136566471","114.26666666666667","1.9631171921475215","96.73333333333333","0.06896551724138078"
"平成25年1-3月","83.56666666666666","-0.3577106518283131","84.49999999999999","0.3960396039603751","95.89999999999999","-0.6560773480663187"
"平成25年4-6月","101.56666666666666","-2.1829855537720704","101.46666666666665","-2.2479126525369537","97.13333333333333","0.6215469613259472"
"平成25年7-9月","92.46666666666665","1.7608217168011464","91.53333333333335","0.6229388054232601","96.76666666666667","-0.2062564455139011"
"平成25年10-12月","114.43333333333334","0.8519388954171632","112.53333333333335","-1.516919486581088","96.16666666666667","-0.5858028945554707"
"平成26年1-3月","84.43333333333334","1.0370961308336746","83.3","-1.4201183431952558","95.16666666666667","-0.7646854362182722"
"平成26年4-6月","102.16666666666667","0.5907449950771451","97.7","-3.712220762155056","96.43333333333334","-0.7206588881262803"
"平成26年7-9月","93.56666666666668","1.1896178803172575","89.06666666666666","-2.6948288419519457","98.0","1.2745435756114318"
"平成26年10-12月","118.63333333333333","3.670259248470714","113.43333333333334","0.7997630331753527","98.60000000000001","2.5303292894280958"
"平成19年1月","88.6","-0.6","89.8","-1.1","100.0","-2.6"
"平成19年2月","83.6","-4.4","84.8","-4.4","98.0","-5.3"
"平成19年3月","86.3","-3.5","87.2","-4.0","98.3","-4.5"
"平成19年4月","85.2","-4.0","85.6","-4.8","98.9","-4.9"
"平成19年5月","84.9","-1.5","85.2","-2.1","98.4","-2.6"
"平成19年6月","149.5","1.5","150.1","1.2","99.3","-2.9"
"平成19年7月","113.3","-0.6","113.8","-1.1","99.2","-2.3"
"平成19年8月","87.1","-2.1","87.0","-2.7","98.3","-3.4"
"平成19年9月","84.4","-1.5","84.1","-1.9","99.0","-2.3"
"平成19年10月","85.1","-2.6","84.7","-3.1","99.8","-1.5"
"平成19年11月","91.1","-0.6","90.6","-1.9","98.9","-2.0"
"平成19年12月","188.9","-0.1","187.8","-1.6","99.9","-1.7"
"平成20年1月","90.8","2.5","90.4","0.7","99.2","-0.8"
"平成20年2月","85.8","2.6","85.6","0.9","100.5","2.6"
"平成20年3月","87.6","1.5","86.9","-0.3","99.1","0.8"
"平成20年4月","86.7","1.8","86.1","0.6","100.6","1.7"
"平成20年5月","86.6","2.0","85.2","0.0","99.9","1.5"
"平成20年6月","149.8","0.2","146.6","-2.3","100.5","1.2"
"平成20年7月","117.5","3.7","114.7","0.8","99.0","-0.2"
"平成20年8月","88.0","1.0","85.4","-1.8","98.2","-0.1"
"平成20年9月","84.0","-0.5","81.6","-3.0","98.1","-0.9"
"平成20年10月","83.7","-1.6","81.4","-3.9","98.3","-1.5"
"平成20年11月","86.6","-4.9","84.9","-6.3","98.7","-0.2"
"平成20年12月","182.9","-3.2","180.0","-4.2","98.3","-1.6"
"平成21年1月","87.5","-3.6","86.6","-4.2","99.7","0.5"
"平成21年2月","85.0","-0.9","84.2","-1.6","101.0","0.5"
"平成21年3月","85.4","-2.5","84.6","-2.6","100.7","1.6"
"平成21年4月","86.6","-0.1","86.0","-0.1","102.5","1.9"
"平成21年5月","84.6","-2.3","83.9","-1.5","100.4","0.5"
"平成21年6月","151.7","1.3","150.6","2.7","101.2","0.7"
"平成21年7月","105.4","-10.3","105.4","-8.1","100.1","1.1"
"平成21年8月","88.7","0.8","88.7","3.9","100.4","2.2"
"平成21年9月","83.6","-0.5","83.5","2.3","99.8","1.7"
"平成21年10月","84.0","0.4","83.7","2.8","99.8","1.5"
"平成21年11月","90.9","5.0","90.5","6.6","100.2","1.5"
"平成21年12月","182.1","-0.4","181.4","0.8","99.9","1.6"
"平成22年1月","88.2","0.8","88.2","1.8","100.9","1.2"
"平成22年2月","86.4","1.6","86.3","2.5","103.0","2.0"
"平成22年3月","87.0","1.9","86.7","2.5","101.8","1.1"
"平成22年4月","89.2","3.0","89.1","3.6","103.2","0.7"
"平成22年5月","87.4","3.3","87.5","4.3","102.7","2.3"
"平成22年6月","152.7","0.7","152.5","1.3","102.9","1.7"
"平成22年7月","105.4","0.0","105.4","0.0","96.6","-3.5"
"平成22年8月","86.5","-2.5","86.5","-2.5","97.5","-2.9"
"平成22年9月","82.3","-1.6","82.8","-0.8","98.1","-1.7"
"平成22年10月","82.8","-1.4","82.6","-1.3","98.3","-1.5"
"平成22年11月","87.3","-4.0","87.6","-3.2","97.3","-2.9"
"平成22年12月","164.8","-9.5","164.8","-9.2","97.8","-2.1"
"平成23年1月","83.4","-5.4","83.8","-5.0","94.3","-6.5"
"平成23年2月","80.4","-6.9","81.0","-6.1","95.3","-7.5"
"平成23年3月","81.6","-6.2","81.5","-6.0","94.7","-7.0"
"平成23年4月","83.4","-6.5","83.0","-6.8","97.0","-6.0"
"平成23年5月","82.7","-5.4","82.5","-5.7","94.3","-8.2"
"平成23年6月","138.5","-9.3","138.8","-9.0","96.0","-6.7"
"平成23年7月","100.5","-4.6","100.7","-4.5","96.0","-0.6"
"平成23年8月","86.3","-0.2","86.3","-0.2","95.9","-1.6"
"平成23年9月","81.1","-1.5","81.0","-2.2","95.5","-2.7"
"平成23年10月","83.1","0.4","82.9","0.4","97.5","-0.8"
"平成23年11月","86.2","-1.3","86.3","-1.5","96.3","-1.0"
"平成23年12月","166.8","1.2","167.0","1.3","96.2","-1.6"
"平成24年1月","83.7","0.4","84.2","0.5","96.6","2.4"
"平成24年2月","82.9","3.1","83.3","2.8","97.2","2.0"
"平成24年3月","85.0","4.2","85.0","4.3","95.8","1.2"
"平成24年4月","83.4","0.0","83.2","0.2","96.5","-0.5"
"平成24年5月","82.6","-0.1","82.4","-0.1","95.9","1.7"
"平成24年6月","145.5","5.1","145.8","5.0","97.2","1.3"
"平成24年7月","104.6","4.1","105.2","4.5","97.4","1.5"
"平成24年8月","86.5","0.2","86.3","0.0","97.1","1.3"
"平成24年9月","81.5","0.5","81.4","0.5","96.4","0.9"
"平成24年10月","81.4","-2.0","81.3","-1.9","96.1","-1.4"
"平成24年11月","83.8","-2.8","84.2","-2.4","96.9","0.6"
"平成24年12月","175.2","5.0","177.3","6.2","97.2","1.0"
"平成25年1月","84.7","1.2","85.6","1.7","95.9","-0.7"
"平成25年2月","81.3","-1.9","82.3","-1.2","96.0","-1.2"
"平成25年3月","84.7","-0.4","85.6","0.7","95.8","0.0"
"平成25年4月","84.3","1.1","85.0","2.2","97.3","0.8"
"平成25年5月","82.3","-0.4","82.0","-0.5","96.9","1.0"
"平成25年6月","138.1","-5.1","137.4","-5.8","97.2","0.0"
"平成25年7月","108.9","4.1","108.4","3.0","96.6","-0.8"
"平成25年8月","85.8","-0.8","84.9","-1.6","97.0","-0.1"
"平成25年9月","82.7","1.5","81.3","-0.1","96.7","0.3"
"平成25年10月","81.4","0.0","79.8","-1.8","95.5","-0.6"
"平成25年11月","83.6","-0.2","82.3","-2.3","96.1","-0.8"
"平成25年12月","178.3","1.8","175.5","-1.0","96.9","-0.3"
"平成26年1月","83.4","-1.5","82.6","-3.5","95.0","-0.9"
"平成26年2月","81.7","0.5","80.7","-1.9","95.3","-0.7"
"平成26年3月","88.2","4.1","86.6","1.2","95.2","-0.6"
"平成26年4月","86.2","2.3","82.7","-2.7","96.6","-0.7"
"平成26年5月","81.7","-0.7","78.1","-4.8","95.4","-1.5"
"平成26年6月","138.6","0.4","132.3","-3.7","97.3","0.1"
"平成26年7月","109.3","0.4","104.1","-4.0","98.0","1.4"
"平成26年8月","87.5","2.0","83.3","-1.9","97.8","0.8"
"平成26年9月","83.9","1.5","79.8","-1.8","98.2","1.6"
"平成26年10月","86.4","6.1","82.3","3.1","98.5","3.1"
"平成26年11月","87.3","4.4","83.5","1.5","98.3","2.3"
"平成26年12月","182.2","2.2","174.5","-0.6","99.0","2.2"
