"""","和　　　　　歌　　　　　山　　　　　県_きまって支給する給与_名目指数","和　　　　　歌　　　　　山　　　　　県_きまって支給する給与_前年(同月･期)比","和　　　　　歌　　　　　山　　　　　県_きまって支給する給与_実質指数","和　　　　　歌　　　　　山　　　　　県_きまって支給する給与_前年(同月･期)比","和　　　　　歌　　　　　山　　　　　県_常　用　雇　用_指    数","和　　　　　歌　　　　　山　　　　　県_常　用　雇　用_前年(同月･期)比"
"平成17年","104.9","0.0","106.3","0.0","83.8","-0.04997085033730286"
"平成18年","105.7","0.7626310772163976","106.7","0.3762935089369819","85.0","1.431980906921254"
"平成19年","103.49166666666667","-2.089246294544296","103.77499999999999","-2.7413308341143505","89.02499999999999","4.735294117647058"
"平成20年","102.4","-1.0548353329575662","100.7","-2.9631414117080084","93.9","5.475989890480221"
"平成21年","100.5","-1.85546875","100.0","-0.6951340615690214","99.3","5.7507987220447205"
"平成22年","100.0","-0.4975124378109399","100.0","0.0","100.0","0.7049345417925394"
"平成23年","100.4","0.4000000000000057","100.4","0.4000000000000057","98.1","-1.9000000000000057"
"平成24年","99.6","-0.7968127490039905","99.8","-0.5976095617530035","97.3","-0.8154943934760439"
"平成25年","98.8","-0.8032128514056183","98.4","-1.4028056112224334","97.9","0.6166495375128562"
"平成26年","99.8","1.012145748987848","96.1","-2.33739837398376","98.0","0.10214504596525842"
"平成19年1-3月","103.46666666666668","-2.6","104.76666666666667","-3.0","86.66666666666667","2.1"
"平成19年4-6月","103.83333333333333","-2.1","104.23333333333335","-2.7","89.16666666666667","2.1"
"平成19年7-9月","102.83333333333333","-2.2","102.83333333333333","-2.8","90.13333333333333","2.2"
"平成19年10-12月","103.83333333333333","-1.5","103.26666666666667","-2.5","90.13333333333333","0.7"
"平成20年1-3月","103.39999999999999","-0.06443298969074363","102.93333333333334","-1.749920458160986","92.3","6.5"
"平成20年4-6月","103.93333333333334","0.09630818619584147","102.43333333333334","-1.7268947873361213","94.53333333333335","6.018691588785046"
"平成20年7-9月","101.23333333333333","-1.5559157212317558","98.5","-4.213938411669361","93.96666666666665","4.252958579881664"
"平成20年10-12月","100.90000000000002","-2.8250401284108904","98.8","-4.325371207230475","94.89999999999999","5.288461538461547"
"平成21年1-3月","100.3","-2.9980657640232096","99.36666666666667","-3.4650259067357467","97.60000000000001","5.7421451787649005"
"平成21年4-6月","100.93333333333334","-2.8864656831302113","100.2","-2.1802798568174495","99.3","5.042313117066271"
"平成21年7-9月","100.39999999999999","-0.8231807704972169","100.36666666666667","1.8950930626057527","99.8","6.207875133025894"
"平成21年10-12月","100.43333333333332","-0.462504129501184","100.06666666666666","1.2820512820512704","100.56666666666666","5.971197752019691"
"平成22年1-3月","100.10000000000001","-0.19940179461613639","99.93333333333334","0.5702784300570158","99.66666666666667","2.1174863387978036"
"平成22年4-6月","100.36666666666667","-0.5614266842800504","100.33333333333333","0.13306719893546415","101.0","1.7119838872104793"
"平成22年7-9月","99.53333333333335","-0.8632138114209624","99.73333333333335","-0.6310195948189943","99.66666666666667","-0.13360053440213449"
"平成22年10-12月","100.03333333333335","-0.39827414537003847","100.06666666666666","0.0","99.7","-0.8617832283725448"
"平成23年1-3月","99.26666666666667","-0.8325008325008412","99.66666666666667","-0.26684456304202797","96.83333333333333","-2.8428093645485006"
"平成23年4-6月","100.26666666666665","-0.09963467286617345","100.06666666666666","-0.2657807308970206","99.06666666666666","-1.9141914191419147"
"平成23年7-9月","99.83333333333333","0.3014065639651591","99.86666666666667","0.1336898395721846","99.16666666666667","-0.5016722408026766"
"平成23年10-12月","102.16666666666667","2.1326224591802685","102.13333333333334","2.0652898067954766","97.5","-2.206619859578737"
"平成24年1-3月","100.46666666666665","1.2088650100738647","100.83333333333333","1.1705685618728978","95.46666666666665","-1.4113597246127512"
"平成24年4-6月","99.86666666666667","-0.3989361702127354","99.8","-0.2664890073284454","98.23333333333335","-0.8411843876177443"
"平成24年7-9月","99.16666666666667","-0.6677796327211922","99.26666666666665","-0.6008010680908029","98.26666666666667","-0.907563025210095"
"平成24年10-12月","98.8","-3.2952691680261097","99.33333333333333","-2.7415143603133174","97.23333333333335","-0.2735042735042583"
"平成25年1-3月","98.26666666666667","-2.189781021897801","99.36666666666667","-1.454545454545439","97.13333333333333","1.745810055865931"
"平成25年4-6月","98.93333333333332","-0.9345794392523601","98.90000000000002","-0.9018036072144042","98.23333333333333","-0.000000000000014210855"
"平成25年7-9月","98.93333333333332","-0.2352941176470722","97.83333333333333","-1.4439220953660197","98.3","0.033921302578022505"
"平成25年10-12月","99.13333333333333","0.33738191632927794","97.43333333333334","-1.9127516778523415","98.03333333333335","0.8227631127871007"
"平成26年1-3月","99.5","1.2550881953867048","98.2","-1.174102650117419","97.2","0.06863417982157216"
"平成26年4-6月","99.89999999999999","0.9770889487870704","95.56666666666666","-3.3704078193461697","98.80000000000001","0.5768578215134141"
"平成26年7-9月","99.56666666666666","0.6401617250674008","94.76666666666667","-3.1345826235093597","98.33333333333333","0.033909799932189344"
"平成26年10-12月","100.26666666666665","1.1432414256892969","95.83333333333333","-1.642148477591519","97.76666666666665","-0.27201632097929007"
"平成19年1月","104.4","-1.4","105.8","-1.9","86.0","1.6"
"平成19年2月","102.7","-3.6","104.2","-3.6","87.0","2.7"
"平成19年3月","103.3","-2.7","104.3","-3.2","87.0","2.1"
"平成19年4月","104.2","-3.8","104.7","-4.6","88.4","1.4"
"平成19年5月","103.3","-0.9","103.6","-1.5","89.5","2.5"
"平成19年6月","104.0","-1.7","104.4","-2.1","89.6","2.4"
"平成19年7月","103.4","-1.0","103.8","-1.6","90.2","2.5"
"平成19年8月","101.7","-3.8","101.6","-4.4","90.3","2.5"
"平成19年9月","103.4","-2.0","103.1","-2.5","89.9","1.5"
"平成19年10月","103.5","-0.9","103.0","-1.3","89.5","0.5"
"平成19年11月","102.7","-2.7","102.1","-3.9","90.6","1.2"
"平成19年12月","105.3","-0.9","104.7","-2.4","90.3","0.5"
"平成20年1月","103.4","-1.0","103.0","-2.6","92.3","7.3"
"平成20年2月","104.6","1.9","104.4","0.2","91.7","5.4"
"平成20年3月","102.2","-1.1","101.4","-2.8","92.9","6.8"
"平成20年4月","104.1","-0.1","103.4","-1.2","94.3","6.7"
"平成20年5月","104.0","0.7","102.4","-1.2","94.5","5.6"
"平成20年6月","103.7","-0.3","101.5","-2.8","94.8","5.8"
"平成20年7月","102.2","-1.2","99.8","-3.9","94.4","4.7"
"平成20年8月","101.2","-0.5","98.3","-3.2","94.3","4.4"
"平成20年9月","100.3","-3.0","97.4","-5.5","93.2","3.7"
"平成20年10月","100.4","-3.0","97.7","-5.1","94.6","5.7"
"平成20年11月","101.2","-1.5","99.2","-2.8","93.8","3.5"
"平成20年12月","101.1","-4.0","99.5","-5.0","96.3","6.6"
"平成21年1月","99.4","-3.9","98.4","-4.5","98.6","6.8"
"平成21年2月","100.8","-3.6","99.9","-4.3","97.4","6.2"
"平成21年3月","100.7","-1.5","99.8","-1.6","96.8","4.2"
"平成21年4月","101.6","-2.4","100.9","-2.4","98.9","4.9"
"平成21年5月","100.2","-3.7","99.4","-2.9","99.4","5.2"
"平成21年6月","101.0","-2.6","100.3","-1.2","99.6","5.1"
"平成21年7月","100.6","-1.6","100.6","0.8","100.0","5.9"
"平成21年8月","100.9","-0.3","100.9","2.6","99.4","5.4"
"平成21年9月","99.7","-0.6","99.6","2.3","100.0","7.3"
"平成21年10月","99.8","-0.6","99.5","1.8","99.7","5.4"
"平成21年11月","101.1","-0.1","100.7","1.5","101.0","7.7"
"平成21年12月","100.4","-0.7","100.0","0.5","101.0","4.9"
"平成22年1月","99.5","0.1","99.5","1.1","99.8","1.2"
"平成22年2月","101.0","0.2","100.9","1.0","99.4","2.1"
"平成22年3月","99.8","-0.9","99.4","-0.4","99.8","3.1"
"平成22年4月","101.4","-0.2","101.3","0.4","101.5","2.6"
"平成22年5月","99.5","-0.7","99.6","0.2","101.1","1.7"
"平成22年6月","100.2","-0.8","100.1","-0.2","100.4","0.8"
"平成22年7月","99.0","-1.6","99.0","-1.6","100.0","0.0"
"平成22年8月","99.8","-1.1","99.8","-1.1","99.4","0.0"
"平成22年9月","99.8","0.1","100.4","0.8","99.6","-0.4"
"平成22年10月","100.4","0.6","100.2","0.7","99.3","-0.4"
"平成22年11月","99.7","-1.4","100.0","-0.7","100.0","-1.0"
