"""","和　　　歌　　　山　　　県_新規求人倍率(※注)","和　　　歌　　　山　　　県_有効求人倍率(※注)","和　　　歌　　　山　　　県_雇用保険受給者_実人員(月平均)","和　　　歌　　　山　　　県_雇用保険受給者_前年(同月･期)比","全　　　　国_新規求人倍率(※注)","全　　　　国_有効求人倍率(※注)"
"平成17年","1.19","0.77","5388.833333333333","-9.7","1.46","0.95"
"平成18年","1.26","0.82","5323.5","-1.212383632820945","1.56","1.06"
"平成19年","1.37","0.9","5044.25","-5.245609091762944","1.52","1.04"
"平成20年","1.26","0.84","4575.083333333333","-9.301019312418433","1.25","0.88"
"平成21年","0.92","0.56","5225.916666666667","14.225606090963751","0.79","0.47"
"平成22年","0.98","0.58","4705.833333333333","-9.952002041109225","0.89","0.52"
"平成23年","1.13","0.71","4515.416666666667","-4.0463963166282895","1.05","0.65"
"平成24年","1.29","0.81","4373.166666666667","-3.150318353787952","1.28","0.8"
"平成25年","1.39","0.89","4294.416666666667","-1.8007546019284177","1.46","0.93"
"平成26年","1.53","0.99","3839.4166666666665","-10.59515262065085","1.66","1.09"
"平成19年1-3月","1.3099999999999998","0.8633333333333333","5107.0","4.1","1.56","1.05"
"平成19年4-6月","1.3999999999999997","0.8866666666666667","5123.666666666667","-1.6","1.56","1.07"
"平成19年7-9月","1.4066666666666665","0.9366666666666666","5274.666666666667","-10.9","1.48","1.05"
"平成19年10-12月","1.3733333333333333","0.91","4671.666666666667","-11.2","1.45","0.99"
"平成20年1-3月","1.3033333333333335","0.8733333333333334","4416.333333333333","-13.523921415051248","1.3866666666666667","0.9633333333333333"
"平成20年4-6月","1.3066666666666666","0.8766666666666666","4465.0","-12.855377008652653","1.3233333333333335","0.9433333333333334"
"平成20年7-9月","1.25","0.84","4892.666666666667","-7.242163801820027","1.2366666666666666","0.86"
"平成20年10-12月","1.1133333333333335","0.7600000000000001","4526.333333333333","-3.110952550838391","1.05","0.75"
"平成21年1-3月","1.0166666666666666","0.6666666666666666","4721.333333333333","6.9061815986112265","0.8066666666666666","0.5766666666666667"
"平成21年4-6月","0.9133333333333332","0.5633333333333334","5439.666666666667","21.829040686823447","0.77","0.4633333333333333"
"平成21年7-9月","0.9033333333333333","0.5233333333333333","5723.333333333333","16.977789889630728","0.7933333333333333","0.4266666666666667"
"平成21年10-12月","0.8633333333333333","0.51","5019.333333333333","10.891818248766484","0.7966666666666667","0.44"
"平成22年1-3月","0.9433333333333334","0.53","4692.333333333333","-0.6142332674385784","0.82","0.4633333333333334"
"平成22年4-6月","0.93","0.55","4610.0","-15.25216005882713","0.8633333333333333","0.5"
"平成22年7-9月","1.0066666666666666","0.6033333333333334","5015.0","-12.376237623762378","0.9133333333333334","0.54"
"平成22年10-12月","1.0266666666666666","0.63","4506.0","-10.227121795723193","0.9666666666666667","0.5766666666666667"
"平成23年1-3月","1.11","0.68","4286.333333333333","-8.652411735455004","0.9933333333333333","0.6133333333333333"
"平成23年4-6月","1.1266666666666667","0.71","4454.0","-3.383947939262484","0.9733333333333333","0.6166666666666667"
"平成23年7-9月","1.1233333333333333","0.7133333333333333","4817.333333333333","-3.9415088069125943","1.0866666666666667","0.6533333333333333"
"平成23年10-12月","1.2","0.7399999999999999","4504.0","-0.04438526409231258","1.1733333333333331","0.7066666666666667"
"平成24年1-3月","1.2033333333333334","0.7466666666666667","4095.3333333333335","-4.456023018897255","1.2266666666666668","0.7533333333333333"
"平成24年4-6月","1.2699999999999998","0.8000000000000002","4426.666666666667","-0.6136805867385107","1.2700000000000002","0.7966666666666667"
"平成24年7-9月","1.3266666666666667","0.8233333333333333","4708.333333333333","-2.2626626072515847","1.3066666666666669","0.8133333333333334"
"平成24年10-12月","1.3733333333333333","0.8566666666666666","4262.333333333333","-5.365600947306106","1.3233333333333333","0.8233333333333333"
"平成25年1-3月","1.33","0.8733333333333334","4145.0","1.2127624938954824","1.3533333333333335","0.8533333333333334"
"平成25年4-6月","1.3566666666666667","0.8466666666666667","4363.333333333333","-1.4307228915662762","1.43","0.9"
"平成25年7-9月","1.39","0.8933333333333334","4608.0","-2.1309734513274208","1.4900000000000002","0.9499999999999998"
"平成25年10-12月","1.4533333333333334","0.9433333333333334","4061.3333333333335","-4.715726910143104","1.5833333333333333","1.01"
"平成26年1-3月","1.5133333333333334","0.9633333333333333","3722.0","-10.20506634499398","1.633333333333333","1.0533333333333335"
"平成26年4-6月","1.5066666666666666","1.0166666666666666","3739.6666666666665","-14.293353705118406","1.6433333333333333","1.09"
"平成26年7-9月","1.5333333333333334","1.0133333333333334","4099.0","-11.046006944444443","1.663333333333333","1.1"
"平成26年10-12月","1.55","0.9866666666666667","3797.0","-6.508535784635598","1.7166666666666668","1.12"
"平成19年1月","1.28","0.86","5107.0","-0.8","1.52","1.06"
"平成19年2月","1.31","0.86","5132.0","4.7","1.56","1.05"
"平成19年3月","1.34","0.87","5082.0","9.0","1.6","1.05"
"平成19年4月","1.38","0.87","4958.0","6.6","1.58","1.07"
"平成19年5月","1.4","0.89","5248.0","-1.2","1.56","1.07"
"平成19年6月","1.42","0.9","5165.0","-8.8","1.54","1.07"
"平成19年7月","1.46","0.93","5488.0","-8.3","1.53","1.06"
"平成19年8月","1.42","0.94","5321.0","-12.7","1.51","1.05"
"平成19年9月","1.34","0.94","5015.0","-11.6","1.42","1.03"
"平成19年10月","1.36","0.92","4954.0","-11.2","1.46","1.01"
"平成19年11月","1.4","0.9","4615.0","-11.6","1.46","0.98"
"平成19年12月","1.36","0.91","4446.0","-10.9","1.42","0.98"
"平成20年1月","1.34","0.89","4667.0","-8.6","1.43","0.97"
"平成20年2月","1.27","0.87","4409.0","-14.1","1.41","0.96"
"平成20年3月","1.3","0.86","4173.0","-17.9","1.32","0.96"
"平成20年4月","1.32","0.87","4205.0","-15.2","1.36","0.96"
"平成20年5月","1.31","0.88","4594.0","-12.5","1.32","0.95"
"平成20年6月","1.29","0.88","4596.0","-11.0","1.29","0.92"
"平成20年7月","1.26","0.86","4985.0","-9.2","1.26","0.89"
"平成20年8月","1.29","0.84","4845.0","-8.9","1.25","0.86"
"平成20年9月","1.2","0.82","4848.0","-3.3","1.2","0.83"
"平成20年10月","1.1","0.79","4732.0","-4.5","1.13","0.79"
"平成20年11月","1.14","0.76","4406.0","-4.5","1.04","0.75"
"平成20年12月","1.1","0.73","4441.0","-0.1","0.98","0.71"
"平成21年1月","1.05","0.71","4722.0","1.2","0.87","0.64"
"平成21年2月","1.05","0.67","4592.0","4.2","0.77","0.57"
"平成21年3月","0.95","0.62","4850.0","16.2","0.78","0.52"
"平成21年4月","0.94","0.59","5185.0","23.3","0.77","0.49"
"平成21年5月","0.9","0.56","5309.0","15.6","0.76","0.46"
"平成21年6月","0.9","0.54","5825.0","26.7","0.78","0.44"
"平成21年7月","0.9","0.53","5972.0","19.8","0.78","0.43"
"平成21年8月","0.92","0.52","5659.0","16.8","0.79","0.42"
"平成21年9月","0.89","0.52","5539.0","14.3","0.81","0.43"
"平成21年10月","0.88","0.52","5358.0","13.2","0.8","0.44"
"平成21年11月","0.84","0.51","5008.0","13.7","0.79","0.44"
"平成21年12月","0.87","0.5","4692.0","5.7","0.8","0.44"
"平成22年1月","0.97","0.52","4870.0","3.1","0.82","0.45"
"平成22年2月","0.93","0.53","4694.0","2.2","0.82","0.46"
"平成22年3月","0.93","0.54","4513.0","-6.9","0.82","0.48"
"平成22年4月","0.95","0.54","4461.0","-14.0","0.85","0.49"
"平成22年5月","0.88","0.55","4504.0","-15.2","0.86","0.5"
"平成22年6月","0.96","0.56","4865.0","-16.5","0.88","0.51"
"平成22年7月","0.99","0.59","5026.0","-15.8","0.89","0.53"
"平成22年8月","0.97","0.6","5133.0","-9.3","0.91","0.54"
"平成22年9月","1.06","0.62","4886.0","-11.8","0.94","0.55"
"平成22年10月","1.0","0.63","4652.0","-13.2","0.96","0.56"
"平成22年11月","0.99","0.63","4581.0","-8.5","0.96","0.58"
"平成22年12月","1.09","0.63","4285.0","-8.7","0.98","0.59"
"平成23年1月","1.1","0.65","4442.0","-8.8","1.02","0.6"
"平成23年2月","1.1","0.69","4213.0","-10.2","0.98","0.62"
"平成23年3月","1.13","0.7","4204.0","-6.8","0.98","0.62"
"平成23年4月","1.13","0.71","4222.0","-5.4","0.95","0.62"
"平成23年5月","1.13","0.71","4482.0","-0.5","0.97","0.61"
"平成23年6月","1.12","0.71","4658.0","-4.3","1.0","0.62"
"平成23年7月","1.08","0.7","4733.0","-5.8","1.07","0.64"
"平成23年8月","1.12","0.72","4946.0","-3.6","1.05","0.65"
"平成23年9月","1.17","0.72","4773.0","-2.3","1.14","0.67"
"平成23年10月","1.18","0.72","4686.0","0.7","1.15","0.69"
"平成23年11月","1.25","0.75","4532.0","-1.1","1.17","0.71"
"平成23年12月","1.17","0.75","4294.0","0.2","1.2","0.72"
"平成24年1月","1.24","0.75","4291.0","-3.4","1.22","0.74"
"平成24年2月","1.17","0.73","4051.0","-3.8","1.23","0.75"
"平成24年3月","1.2","0.76","3944.0","-6.2","1.23","0.77"
"平成24年4月","1.29","0.8","4101.0","-2.9","1.25","0.79"
"平成24年5月","1.3","0.8","4633.0","3.4","1.28","0.8"
"平成24年6月","1.22","0.8","4546.0","-2.4","1.28","0.8"
"平成24年7月","1.4","0.82","4846.0","2.4","1.29","0.81"
"平成24年8月","1.29","0.83","4753.0","-3.9","1.32","0.82"
"平成24年9月","1.29","0.82","4526.0","-5.2","1.31","0.81"
"平成24年10月","1.37","0.84","4570.0","-2.5","1.3","0.82"
"平成24年11月","1.4","0.85","4290.0","-5.3","1.33","0.82"
"平成24年12月","1.35","0.88","3927.0","-8.5","1.34","0.83"
